nb_drones: 30

# ── HUBS ──
hub: start_Theodor_Heuss_Stra_e 51124 544848 [color=blue max_drones=5]
hub: Klingenberger_Stra_e_2 51390 544708 [zone=normal color=blue max_drones=2]
hub: Seestra_e_2 51399 544710 [zone=normal color=blue max_drones=2]
hub: Friedrichstra_e 51402 544654 [zone=normal color=blue max_drones=2]
hub: Friedrichstra_e_2 51392 544652 [zone=normal color=blue max_drones=2]
hub: Bachstra_e 51403 544647 [zone=normal color=blue max_drones=2]
hub: Friedenstra_e 51412 544655 [zone=normal color=blue max_drones=2]
hub: Friedenstra_e_2 51411 544661 [zone=normal color=blue max_drones=2]
hub: Friedenstra_e_3 51413 544648 [zone=normal color=blue max_drones=2]
hub: Friedrichstra_e_3 51417 544656 [zone=normal color=blue max_drones=2]
hub: Leonhardstra_e 51411 544641 [zone=normal color=blue max_drones=2]
hub: Keilstra_e 51383 544645 [zone=normal color=blue max_drones=2]
hub: Friedrichstra_e_4 51383 544651 [zone=normal color=blue max_drones=2]
hub: Keilstra_e_2 51384 544638 [zone=normal color=blue max_drones=2]
hub: Bachstra_e_2 51393 544645 [zone=normal color=blue max_drones=2]
hub: Oststra_e 51664 544690 [zone=normal color=blue max_drones=10]
hub: S_dstra_e_2 51665 544689 [zone=normal color=blue max_drones=10]
hub: Silcherstra_e 51667 544692 [zone=normal color=blue max_drones=2]
hub: Stuttgarter_Stra_e 51667 544682 [zone=normal color=blue max_drones=10]
hub: Stuttgarter_Stra_e_2 51664 544688 [zone=normal color=blue max_drones=10]
hub: Silcherplatz 51660 544684 [zone=normal color=blue max_drones=10]
hub: Mannheimer_Stra_e 51612 544546 [zone=normal color=blue max_drones=10]
hub: Paulinenstra_e_3 51613 544544 [zone=normal color=blue max_drones=10]
hub: Schaeuffelenstra_e_3 51595 544547 [zone=normal color=blue max_drones=10]
hub: Schaeuffelenstra_e_4 51594 544547 [zone=normal color=blue max_drones=10]
hub: Mannheimer_Stra_e_2 51593 544548 [zone=normal color=blue max_drones=10]
hub: Mannheimer_Stra_e_3 51584 544546 [zone=normal color=blue max_drones=10]
hub: Weipertstra_e 51561 544526 [zone=normal color=blue max_drones=10]
hub: Ludwigsburger_Stra_e 51368 544763 [zone=normal color=blue max_drones=5]
hub: Ludwigsburger_Stra_e_2 51372 544759 [zone=normal color=blue max_drones=5]
hub: Klingenberger_Stra_e_3 51374 544762 [zone=normal color=blue max_drones=2]
hub: Theodor_Heuss_Stra_e_5 51164 544850 [zone=normal color=blue max_drones=5]
hub: J_kleinstra_e 51381 544752 [zone=normal color=blue max_drones=2]
hub: Kappelstra_e 51388 544729 [zone=normal color=blue max_drones=2]
hub: Strombergstra_e 51397 544731 [zone=normal color=blue max_drones=2]
hub: Kappelstra_e_2 51383 544728 [zone=normal color=blue max_drones=2]
hub: H_nderstra_e 51198 544603 [zone=normal color=blue max_drones=2]
hub: H_nderstra_e_2 51199 544615 [zone=normal color=blue max_drones=10]
hub: H_nderstra_e_3 51198 544584 [zone=normal color=blue max_drones=2]
hub: L_mlinstra_e 51181 544604 [zone=normal color=blue max_drones=2]
hub: L_mlinstra_e_2 51213 544603 [zone=normal color=blue max_drones=2]
hub: H_nderstra_e_4 51199 544617 [zone=normal color=blue max_drones=10]
hub: H_nderstra_e_5 51201 544618 [zone=normal color=blue max_drones=10]
hub: Wilhelm_Leuschner_Stra_e 51410 544603 [zone=normal color=blue max_drones=10]
hub: Wilhelm_Leuschner_Stra_e_2 51416 544595 [zone=normal color=blue max_drones=10]
hub: Hans_Multscher_Stra_e 51404 544598 [zone=normal color=blue max_drones=2]
hub: Gro_gartacher_Stra_e 51409 544604 [zone=normal color=blue max_drones=10]
hub: Wilhelm_Leuschner_Stra_e_3 51421 544595 [zone=normal color=blue max_drones=10]
hub: Karl_Marx_Stra_e 51427 544589 [zone=normal color=blue max_drones=2]
hub: Wilhelm_Leuschner_Stra_e_4 51434 544598 [zone=normal color=blue max_drones=10]
hub: Neckartalstra_e_5 51439 544599 [zone=normal color=blue max_drones=10]
hub: Gro_gartacher_Stra_e_2 51432 544604 [zone=normal color=blue max_drones=2]
hub: Landwehrstra_e 51435 544591 [zone=normal color=blue max_drones=2]
hub: Neckartalstra_e_6 51449 544598 [zone=normal color=blue max_drones=10]
hub: Neckartalstra_e_7 51453 544609 [zone=normal color=blue max_drones=10]
hub: Neckartalstra_e_8 51453 544640 [zone=normal color=blue max_drones=10]
hub: Olgastra_e 51542 544604 [zone=normal color=blue max_drones=2]
hub: Leonhardstra_e_2 51405 544632 [zone=normal color=blue max_drones=2]
hub: Leonhardstra_e_3 51405 544632 [zone=normal color=blue max_drones=2]
hub: M_hlstra_e 51393 544631 [zone=normal color=blue max_drones=2]
hub: C_cilienbrunnenstra_e 51681 544712 [zone=normal color=blue max_drones=2]
hub: C_cilienbrunnenstra_e_2 51682 544717 [zone=normal color=blue max_drones=2]
hub: Bl_cherstra_e 51672 544711 [zone=normal color=blue max_drones=2]
hub: Silcherstra_e_2 51680 544707 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal 51685 544713 [zone=normal color=blue max_drones=2]
hub: Teichstra_e 51393 544638 [zone=normal color=blue max_drones=2]
hub: Teichstra_e_2 51404 544640 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal_2 51712 544715 [zone=normal color=blue max_drones=2]
hub: Schweinsbergstra_e 51702 544724 [zone=normal color=blue max_drones=2]
hub: Pf_hlstra_e 51753 544576 [zone=normal color=blue max_drones=2]
hub: Pf_hlstra_e_2 51753 544575 [zone=normal color=blue max_drones=2]
hub: Schlizstra_e 51755 544579 [zone=normal color=blue max_drones=2]
hub: Pf_hlstra_e_3 51748 544576 [zone=normal color=blue max_drones=2]
hub: Reutlinger_Stra_e 51783 544692 [zone=normal color=blue max_drones=2]
hub: Reutlinger_Stra_e_2 51784 544693 [zone=normal color=blue max_drones=2]
hub: Einsteinstra_e 51785 544683 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal_3 51773 544695 [zone=normal color=blue max_drones=2]
hub: 989198333 51461 544475 [zone=normal color=blue max_drones=10]
hub: Saarlandstra_e_3 51461 544479 [zone=normal color=blue max_drones=10]
hub: Im_Gemmingstal_4 51716 544714 [zone=normal color=blue max_drones=2]
hub: L_wensteiner_Stra_e 51718 544719 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal_5 51731 544708 [zone=normal color=blue max_drones=2]
hub: Keilstra_e_3 51384 544631 [zone=normal color=blue max_drones=2]
hub: Blumhardtstra_e 51390 544672 [zone=normal color=blue max_drones=2]
hub: Blumhardtstra_e_2 51399 544674 [zone=normal color=blue max_drones=2]
hub: Ludwigsburger_Stra_e_3 51383 544706 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal_6 51743 544702 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal_7 51749 544699 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal_8 51737 544705 [zone=normal color=blue max_drones=2]
hub: K_hlstra_e 51745 544709 [zone=normal color=blue max_drones=2]
hub: Olgastra_e_2 51541 544612 [zone=normal color=blue max_drones=2]
hub: Achtungstra_e 51538 544618 [zone=normal color=blue max_drones=2]
hub: J_gerhausstra_e 51779 544623 [zone=normal color=blue max_drones=2]
hub: J_gerhausstra_e_2 51780 544623 [zone=normal color=blue max_drones=2]
hub: J_gerhausstra_e_3 51754 544617 [zone=normal color=blue max_drones=2]
hub: Neckartalstra_e_9 51457 544504 [zone=normal color=blue max_drones=10]
hub: Neckartalstra_e_10 51457 544514 [zone=normal color=blue max_drones=10]
hub: Silcherstra_e_3 51680 544707 [zone=normal color=blue max_drones=2]
hub: Waiblingerstra_e 51680 544704 [zone=normal color=blue max_drones=2]
hub: Einsteinstra_e_2 51796 544643 [zone=normal color=blue max_drones=2]
hub: Einsteinstra_e_3 51792 544656 [zone=normal color=blue max_drones=2]
hub: Einsteinstra_e_4 51799 544634 [zone=normal color=blue max_drones=2]
hub: Ehrlichstra_e 51776 544633 [zone=normal color=blue max_drones=2]
hub: Friedenstra_e_4 51409 544675 [zone=normal color=blue max_drones=2]
hub: Eppinger_Stra_e 51410 544666 [zone=normal color=blue max_drones=2]
hub: Friedenstra_e_5 51407 544687 [zone=normal color=blue max_drones=2]
hub: Stedinger_Stra_e 51419 544701 [zone=normal color=blue max_drones=2]
hub: Dinkelsb_hler_Stra_e 51738 544710 [zone=normal color=blue max_drones=2]
hub: Am_Seelesberg 51809 544635 [zone=normal color=blue max_drones=2]
hub: Einsteinstra_e_5 51799 544627 [zone=normal color=blue max_drones=2]
hub: Dittmarstra_e 51772 544689 [zone=normal color=blue max_drones=2]
hub: Im_Gemmingstal_9 51771 544695 [zone=normal color=blue max_drones=2]
hub: Katzensteige 51769 544571 [zone=normal color=blue max_drones=2]
hub: Schlizstra_e_2 51756 544581 [zone=normal color=blue max_drones=2]
hub: Neckargartacher_Stra_e 51419 544586 [zone=normal color=blue max_drones=5]
hub: Heidelberger_Stra_e 51411 544594 [zone=normal color=blue max_drones=5]
hub: Saarlandstra_e_4 51434 544482 [zone=normal color=blue max_drones=10]
hub: R_merstra_e 51435 544482 [zone=normal color=blue max_drones=10]
hub: Neckargartacher_Stra_e_2 51434 544496 [zone=normal color=blue max_drones=5]
hub: Saarlandstra_e_5 51449 544483 [zone=normal color=blue max_drones=10]
hub: 989198378 51454 544488 [zone=normal color=blue max_drones=10]
hub: Saarlandstra_e_6 51454 544485 [zone=normal color=blue max_drones=10]
hub: Saarlandstra_e_7 51461 544485 [zone=normal color=blue max_drones=10]
hub: Saarlandstra_e_8 51464 544484 [zone=normal color=blue max_drones=10]
hub: Edisonstra_e 51539 544505 [zone=normal color=blue max_drones=2]
hub: Edisonstra_e_2 51536 544512 [zone=normal color=blue max_drones=2]
hub: Edisonstra_e_3 51541 544501 [zone=normal color=blue max_drones=2]
hub: Edisonstra_e_4 51549 544509 [zone=normal color=blue max_drones=2]
hub: Heinrichstra_e 51405 544699 [zone=normal color=blue max_drones=2]
hub: Heinrichstra_e_2 51405 544699 [zone=normal color=blue max_drones=2]
hub: Stedinger_Stra_e_2 51415 544700 [zone=normal color=blue max_drones=2]
hub: Heinrichstra_e_3 51405 544690 [zone=normal color=blue max_drones=2]
hub: Dorfgraben 51397 544694 [zone=normal color=blue max_drones=2]
hub: Heuchelbergstra_e 51382 544708 [zone=normal color=blue max_drones=2]
hub: Heuchelbergstra_e_2 51367 544713 [zone=normal color=blue max_drones=2]
hub: Ludwigsburger_Stra_e_4 51381 544713 [zone=normal color=blue max_drones=2]
hub: Weststra_e_2 51518 544618 [zone=normal color=blue max_drones=2]
hub: Achtungstra_e_2 51527 544618 [zone=normal color=blue max_drones=2]
hub: Achtungstra_e_3 51550 544625 [zone=normal color=blue max_drones=2]
hub: Achtungstra_e_4 51528 544618 [zone=normal color=blue max_drones=2]
hub: Olgastra_e_3 51529 544631 [zone=normal color=blue max_drones=2]
hub: Badstra_e_2 51552 544626 [zone=normal color=blue max_drones=2]
hub: Badstra_e_3 51519 544673 [zone=normal color=blue max_drones=2]
hub: Wartberg 51855 544428 [zone=normal color=blue max_drones=2]
hub: 939594670 51846 544403 [zone=normal color=blue max_drones=2]
hub: Wartberg_2 51725 544408 [zone=normal color=blue max_drones=2]
hub: hringer_Stra_e 51834 544464 [zone=normal color=blue max_drones=10]
hub: hringer_Stra_e_2 51829 544475 [zone=normal color=blue max_drones=10]
hub: B_rg 51836 544478 [zone=normal color=blue max_drones=2]
hub: Haller_Stra_e 51758 544519 [zone=normal color=blue max_drones=10]
hub: Orthstra_e 51704 544523 [zone=normal color=blue max_drones=10]
hub: Orthstra_e_2 51703 544522 [zone=normal color=blue max_drones=10]
hub: Wilhelm_Busch_Stra_e 51712 544534 [zone=normal color=blue max_drones=2]
hub: Paul_G_bel_Stra_e 51713 544523 [zone=normal color=blue max_drones=10]
hub: Sichererstra_e 51690 544531 [zone=normal color=blue max_drones=10]
hub: Nordstra_e 51675 544529 [zone=normal color=blue max_drones=2]
hub: Paul_G_bel_Stra_e_2 51684 544540 [zone=normal color=blue max_drones=10]
hub: J_gerhausstra_e_4 51856 544643 [zone=normal color=blue max_drones=2]
hub: J_gerhausstra_e_5 51866 544653 [zone=normal color=blue max_drones=2]
hub: J_gerhausstra_e_6 51830 544626 [zone=normal color=blue max_drones=2]
hub: H_ldensteige 51864 544640 [zone=normal color=blue max_drones=2]
hub: J_gerhausstra_e_7 51873 544661 [zone=normal color=blue max_drones=2]
hub: Arndtstra_e 51869 544701 [zone=normal color=blue max_drones=2]
hub: J_gerhausstra_e_8 51746 544615 [zone=normal color=blue max_drones=2]
hub: Siebennussbaumstra_e 51744 544612 [zone=normal color=blue max_drones=2]
hub: Bismarckstra_e 51744 544615 [zone=normal color=blue max_drones=2]
hub: Bismarckstra_e_2 51689 544617 [zone=normal color=blue max_drones=2]
hub: Bismarckstra_e_3 51676 544618 [zone=normal color=blue max_drones=2]
hub: Bismarckstra_e_4 51706 544617 [zone=normal color=blue max_drones=2]
hub: Goethestra_e 51689 544604 [zone=normal color=blue max_drones=2]
hub: Goethestra_e_2 51689 544603 [zone=normal color=blue max_drones=2]
hub: Moltkestra_e 51705 544606 [zone=normal color=blue max_drones=2]
hub: Wollhausstra_e 51617 544627 [zone=normal color=blue max_drones=2]
hub: Am_Wollhaus 51612 544626 [zone=normal color=blue max_drones=10]
hub: Wollhausstra_e_2 51624 544627 [zone=normal color=blue max_drones=2]
hub: Am_Wollhaus_2 51612 544627 [zone=normal color=blue max_drones=2]
hub: Allee 51618 544611 [zone=normal color=blue max_drones=10]
hub: Rollwagstra_e 51602 544632 [zone=normal color=blue max_drones=10]
hub: Rollwagstra_e_2 51598 544629 [zone=normal color=blue max_drones=2]
hub: Wilhelmstra_e 51600 544634 [zone=normal color=blue max_drones=10]
hub: Rollwagstra_e_3 51589 544628 [zone=normal color=blue max_drones=2]
hub: Rollwagstra_e_4 51568 544623 [zone=normal color=blue max_drones=2]
hub: Rollwagstra_e_5 51565 544620 [zone=normal color=blue max_drones=2]
hub: Allerheiligenstra_e 51569 544621 [zone=normal color=blue max_drones=2]
hub: Rosenbergstra_e_2 51573 544629 [zone=normal color=blue max_drones=2]
hub: Bahnhofstra_e_2 51553 544587 [zone=normal color=blue max_drones=2]
hub: Bahnhofstra_e_3 51554 544587 [zone=normal color=blue max_drones=2]
hub: Bahnhofstra_e_4 51546 544588 [zone=normal color=blue max_drones=2]
hub: Bahnhofstra_e_5 51542 544588 [zone=normal color=blue max_drones=2]
hub: Olgastra_e_4 51542 544592 [zone=normal color=blue max_drones=2]
hub: Austra_e_10 51600 544353 [zone=normal color=blue max_drones=5]
hub: Austra_e_11 51596 544299 [zone=normal color=blue max_drones=5]
hub: Rosenbergstra_e_3 51569 544647 [zone=normal color=blue max_drones=2]
hub: Rosenbergstra_e_4 51572 544639 [zone=normal color=blue max_drones=2]
hub: Bergstra_e 51581 544647 [zone=normal color=blue max_drones=2]
hub: C_cilienstra_e 51552 544648 [zone=normal color=blue max_drones=2]
hub: Rosenbergstra_e_5 51565 544655 [zone=normal color=blue max_drones=2]
hub: Kurze_Stra_e 51581 544638 [zone=normal color=blue max_drones=2]
hub: Rosenbergstra_e_6 51573 544630 [zone=normal color=blue max_drones=2]
hub: Hans_Rie_er_Stra_e 51635 544325 [zone=normal color=blue max_drones=2]
hub: Hans_Rie_er_Stra_e_2 51605 544358 [zone=normal color=blue max_drones=2]
hub: Binswanger_Stra_e_2 51648 544418 [zone=normal color=blue max_drones=5]
hub: Neckarsulmer_Stra_e_2 51645 544414 [zone=normal color=blue max_drones=10]
hub: Binswanger_Stra_e_3 51644 544417 [zone=normal color=blue max_drones=10]
hub: Rollwagstra_e_6 51580 544629 [zone=normal color=blue max_drones=2]
hub: Rosenbergstra_e_7 51574 544630 [zone=normal color=blue max_drones=2]
hub: J_rgstra_e 51656 544440 [zone=normal color=blue max_drones=2]
hub: J_rgstra_e_2 51650 544441 [zone=normal color=blue max_drones=2]
hub: K_ferflugstra_e_2 51659 544446 [zone=normal color=blue max_drones=2]
hub: Bergstra_e_2 51579 544656 [zone=normal color=blue max_drones=2]
hub: Eppinger_Stra_e_2 51400 544665 [zone=normal color=blue max_drones=2]
hub: Max_Planck_Stra_e_2 51599 544826 [zone=normal color=blue max_drones=2]
hub: Max_Planck_Stra_e_3 51597 544828 [zone=normal color=blue max_drones=2]
hub: Lise_Meitner_Stra_e 51599 544820 [zone=normal color=blue max_drones=2]
